"";"A1";"Hilera 3";"Point 3";"Point 4";"Point 5";"Point 6";"Point 7";"Point 8";"Point 9";"Point 10";"Point 11";"Point 12";"Point 13";"Point 14";"Point 15";"Point 16";"Point 17";"Point 18";"Point 19";"Point 20";"Point 21";"Point 22";"Point 23";"01005-01";"Point 25";"Point 26";"Point 27";"Point 28";"Point 29";"Point 30";"Point 31";"Point 32";"Point 33";"Point 34";"Point 35";"Point 36";"Point 37";"Point 38";"011005-01";"011007-01";"01004-01";"01008-01";"01006-01"
"X_S2A2A_20181011_096_19HCB_EVI_10";8448;NA;2951;3074;2904;3078;2264;2141;2021;2800;3321;2609;2761;2475;2807;4690;11755;8448;3932;5943;4855;3841;4040;3751;3827;3391;3591;3792;3707;3460;3973;4022;3833;3554;3264;3274;3221;3822;3751;17056;6289;2264;3698
"X_S2A2A_20181031_096_19HCB_EVI_10";5411;NA;4894;4552;5141;5067;5135;5222;5287;4859;4871;4850;5011;5280;5271;5546;5391;5411;5888;5474;5616;5597;5776;5771;6001;5499;5329;5755;5519;5724;6043;5830;5889;5539;5271;5154;5182;4912;5771;5145;5006;5135;5497
"X_S2A2A_20181110_096_19HCB_EVI_10";7106;NA;6458;6219;6470;6469;6333;5993;6496;6323;6102;5808;6195;6358;6407;6608;6922;7106;7175;6699;6854;7036;7102;7064;7078;7211;6541;7199;6860;6763;6977;7284;6930;7014;6758;6385;5558;5776;7064;6923;6522;6333;6736
"X_S2A2A_20181130_096_19HCB_EVI_10";5070;NA;5395;5349;5281;4760;4304;4093;4530;4992;4130;3962;3070;2694;2268;3601;4732;5070;4829;4440;4254;4658;3545;4360;3063;3223;3512;3096;3190;3958;4560;3073;4679;3874;4018;4789;4975;3908;4360;3981;3678;4304;3157
"X_S2A2A_20181210_096_19HCB_EVI_10";8174;NA;7467;7007;7481;7504;7533;7067;7452;7364;7047;7346;7581;7752;7589;7786;7906;8174;8197;8100;8026;8225;7905;8049;8097;8296;7508;8283;7798;7781;7922;7951;7931;8037;7821;7653;6963;7054;8049;7717;7558;7533;7539
"X_S2A2A_20190109_096_19HCB_EVI_10";8050;NA;6605;6759;6961;4708;7494;9192;7222;5950;9819;7057;9475;18537;5915;8941;7049;8050;6181;6505;4690;4614;4758;9744;5198;4710;3939;5019;4549;3752;4366;11246;5086;5514;4934;7410;5481;6760;9744;8535;15102;7494;4004
"X_S2A2A_20190119_096_19HCB_EVI_10";8022;NA;7469;7219;7247;7768;7774;7425;7201;7638;7573;6408;7861;7504;7477;7866;7956;8022;8133;7527;8093;7995;7591;7733;7879;8124;7036;8165;7878;7506;7478;7065;7538;7788;7649;7689;6547;6718;7733;7663;7304;7774;7338
"X_S2A2A_20190129_096_19HCB_EVI_10";7969;NA;7054;7055;7239;7600;7759;7446;7105;7720;7199;5632;7718;7389;7330;7561;7808;7969;7916;7482;7914;7953;7667;7718;7689;8072;6947;8074;7860;7558;7261;7260;7405;7623;7706;7789;6677;6865;7718;7460;7233;7759;7416
"X_S2A2A_20190218_096_19HCB_EVI_10";7115;NA;6781;6478;6532;6985;6930;6586;6445;6724;6904;6055;6932;6572;6773;6847;6961;7115;7032;6551;6987;7160;6735;6748;6827;7329;6249;7115;6809;6551;6588;6525;6616;6845;6827;6549;5605;5836;6748;6740;6330;6930;6487
"X_S2A2A_20190228_096_19HCB_EVI_10";7010;NA;6254;6186;6221;6783;6659;6404;6047;6562;6647;5078;6945;6234;6368;6488;6830;7010;7020;6363;6890;6970;6569;6719;6685;7113;5836;7197;6926;6577;6324;6515;6380;6753;6703;6655;5899;5770;6719;6521;6152;6659;6367
"X_S2A2A_20190310_096_19HCB_EVI_10";6371;NA;5711;5701;5722;6001;6084;5890;5757;5841;6014;5722;6336;5750;5779;5922;6263;6371;6366;5870;6634;6291;6090;6182;6066;6477;5391;6287;5940;5831;5769;5676;5764;6114;6213;6145;5588;5369;6182;6006;5590;6084;5623
"X_S2B2A_20180807_096_19HCB_EVI_10";1578;NA;1705;1427;1799;1755;1504;1457;1407;1324;1022;1359;1264;1813;1116;1329;1269;1578;1055;1331;1457;1166;1542;1330;1511;1243;1486;1181;1418;1040;1251;1054;1136;992;752;899;748;1090;1330;2209;1748;1504;1613
"X_S2B2A_20180817_096_19HCB_EVI_10";730;NA;1369;1154;1274;982;807;1397;1631;907;1375;1481;1597;977;890;1189;1075;730;747;1001;1368;1948;1208;1492;735;1154;1279;841;1208;1128;774;776;1130;1672;1841;1736;1814;947;1492;965;1541;807;1439
"X_S2B2A_20180827_096_19HCB_EVI_10";812;NA;1075;938;901;996;791;979;955;1150;1062;990;903;960;1361;985;1169;812;1027;1128;1287;869;761;873;1006;920;1195;1288;1206;1363;1172;928;1100;1119;1010;1185;1339;1200;873;1193;1193;791;1314
"X_S2B2A_20180906_096_19HCB_EVI_10";3484;NA;215;827;186;1283;1113;681;1050;2709;1385;661;1562;1406;4730;4079;1068;3484;1897;1117;1168;290;368;2500;791;3531;921;1454;1093;615;1663;704;303;1655;2952;3307;2738;1833;2500;1532;1504;1113;1137
"X_S2B2A_20180916_096_19HCB_EVI_10";1693;NA;1801;2007;1739;1825;1649;1660;1688;1655;1616;1529;1519;1708;1555;1791;1719;1693;1800;1883;1828;1770;1908;1765;1979;1892;1808;1764;1881;1887;2141;2464;2030;1588;1489;1637;1842;2344;1765;1802;1799;1649;1866
"X_S2B2A_20180926_096_19HCB_EVI_10";2670;NA;5470;5988;5253;3670;3129;2723;3906;6185;5814;7209;9683;5156;4041;2621;2875;2670;2431;2593;2260;2233;1755;2452;1843;2159;2006;2417;1804;2499;2353;2826;2453;1826;2247;2384;2316;2690;2452;3291;2668;3129;1629
"X_S2B2A_20181016_096_19HCB_EVI_10";2749;NA;3237;2892;2876;2885;2641;3090;2927;2830;2802;2792;2715;2802;2735;2892;2815;2749;2165;2852;2527;2463;2611;2697;2655;2603;2425;2197;2348;2454;2584;2322;2612;2397;2210;2437;2642;2922;2697;2442;2593;2641;2539
"X_S2B2A_20181026_096_19HCB_EVI_10";5034;NA;4375;4144;4482;4487;4900;4382;4509;4504;4169;3952;4446;4740;4601;4782;4716;5034;5388;4810;5288;5006;5065;5176;5361;5319;4769;5372;5173;5338;5621;5695;5299;5091;5137;5203;5199;5165;5176;4782;4771;4900;5034
"X_S2B2A_20181105_096_19HCB_EVI_10";4947;NA;4053;3782;4113;4161;4568;4771;4599;4303;4320;4275;4731;4742;4916;4988;4714;4947;4888;4987;5151;4849;4892;4972;4934;5061;4666;4709;4950;5018;5073;4954;4858;4761;4755;4899;4714;4843;4972;4640;4892;4568;4875
"X_S2B2A_20181115_096_19HCB_EVI_10";7589;NA;6572;6462;6827;6802;7194;6652;6911;6792;6077;6300;7027;6951;6826;7002;7204;7589;7669;7152;7531;7389;7342;7314;7554;7602;6713;7833;7372;7641;7706;7612;7386;7380;7468;7639;7244;7138;7314;7162;7066;7194;7144
"X_S2B2A_20181125_096_19HCB_EVI_10";4539;NA;6297;5694;5083;3906;4466;4443;4685;7081;4325;2896;2905;3759;4496;6544;4525;4539;6004;6897;5751;4726;3960;5537;3453;4032;5864;4635;5329;3832;8910;10808;5217;6918;7020;6701;8462;9281;5537;3653;3711;4466;5636
"X_S2B2A_20181205_096_19HCB_EVI_10";6396;NA;5695;5387;5322;5095;6031;5364;5946;5814;5550;5193;6397;5981;6152;6264;6322;6396;6040;5794;5887;6503;6016;5976;6086;6745;5305;6196;5269;5973;5651;6526;5333;5535;5847;6604;5874;5829;5976;5674;6041;6031;5661
"X_S2B2A_20181215_096_19HCB_EVI_10";8025;NA;6999;5606;6607;6980;7899;7376;7676;7440;6214;7276;7641;7544;7350;7650;7702;8025;8195;7624;7886;7720;7883;8032;7987;8271;6992;8283;7466;8122;8114;7780;7783;8032;7951;8129;8192;7454;8032;7569;7500;7899;7306
"X_S2B2A_20181225_096_19HCB_EVI_10";7955;NA;6838;6114;7163;6934;8003;7575;7700;7422;6522;7287;7871;7644;7559;7730;7699;7955;8148;7632;8020;7803;7873;8058;7988;8228;7069;8242;7531;8019;7893;7583;7568;7813;7885;8023;7796;7150;8058;7692;7503;8003;7258
"X_S2B2A_20190104_096_19HCB_EVI_10";8124;NA;6931;5718;7458;6770;7882;7354;7747;7288;6620;7386;7829;7507;7652;7817;7739;8124;8173;7871;8214;8007;7938;8246;8132;8329;7401;8340;7313;8121;8042;7518;7652;7910;7860;7983;7948;7108;8246;7701;7564;7882;7400
"X_S2B2A_20190114_096_19HCB_EVI_10";8540;NA;7381;6641;7750;7501;8206;7824;8197;7813;7186;7822;8463;8005;7942;8049;8111;8540;8635;8194;8359;8520;8356;8513;8371;8588;7588;8717;8002;8150;8353;7840;8010;8161;8228;8354;8105;7256;8513;8038;7905;8206;7748
"X_S2B2A_20190124_096_19HCB_EVI_10";7932;NA;6906;6047;6657;7179;7941;7523;7717;7662;6294;7175;7844;7463;7443;7665;7754;7932;8085;7637;7961;7848;7760;7964;7727;8023;7026;8153;7510;7887;7817;7243;7294;7852;7687;7841;7856;7125;7964;7658;7410;7941;7288
"X_S2B2A_20190203_096_19HCB_EVI_10";7561;NA;7051;7051;7091;7557;7513;7034;6883;7189;7422;7037;7637;7077;7309;7347;7489;7561;7636;7355;7455;7690;7271;7614;7449;7777;6801;7662;7325;6995;7117;7022;7200;7494;7241;6987;5963;5948;7614;7174;6937;7513;7070
"X_S2B2A_20190213_096_19HCB_EVI_10";7504;NA;7002;6419;7020;7068;7236;6620;6877;7014;7065;7083;7261;6791;7107;7115;7194;7504;7591;7058;7456;7514;6888;7277;7276;7517;6565;7507;6899;6724;6767;6678;7060;7155;7079;6654;5693;5627;7277;7066;6530;7236;6829
"X_S2B2A_20190223_096_19HCB_EVI_10";7402;NA;6933;6460;6627;7071;7002;6435;6465;6762;7161;6952;7169;6580;6838;6952;6874;7402;7364;6976;7068;7213;6794;7144;7045;7370;6306;7391;6734;6668;6728;6517;6942;7169;6913;6194;5316;5404;7144;6736;6316;7002;6558
"X_S2B2A_20190305_096_19HCB_EVI_10";6766;NA;6395;6227;6548;6927;6730;6379;6029;6554;6889;6062;7022;6200;6489;6471;6861;6766;7006;6410;6887;6801;6522;6582;6599;7037;5937;6978;6578;6401;6292;6256;6438;6730;6838;6227;5629;5504;6582;6538;6063;6730;6283
"S2A2A_20190419_096_19HCB_EVI_10";456;NA;733;910;783;869;1266;1462;903;342;1384;694;1296;1063;1005;806;1034;456;323;743;817;1072;1077;595;1264;1346;1116;760;804;708;770;975;540;953;684;988;1205;1005;595;770;220;1266;554
"S2B2A_20190414_096_19HCB_EVI_10";5848;NA;5279;4679;5157;5428;5650;5264;5314;5032;5793;6131;6014;5418;5696;5628;5711;5848;6029;5560;6064;5913;5707;5928;5871;5872;5318;5957;5404;5563;5677;5422;5626;5709;5623;5472;5211;5001;5928;5487;5221;5650;5484
"S2B2A_20190424_096_19HCB_EVI_10";281;NA;185;-280;-362;-83;158;-81;0;-598;-130;186;-306;-262;-174;0;157;281;245;-498;241;149;198;-95;-268;-282;-277;-442;248;-383;-597;-209;-192;301;0;-82;182;-498;-95;44;194;158;-255
"S2B2A_20190504_096_19HCB_EVI_10";1303;NA;1395;1621;1186;1370;1431;1537;1563;1415;1422;1225;1332;1336;1278;1301;1374;1303;1470;1340;1198;1198;1146;1211;1218;1269;1119;1215;1287;1394;1254;1293;1280;1397;1132;1456;1202;1193;1211;1520;1539;1431;1287
"S2B2A_20190514_096_19HCB_EVI_10";3971;NA;3745;3569;3873;3922;3562;3618;3603;3526;4449;4419;4549;3799;3495;3894;4166;3971;4060;3891;4344;4454;4048;4132;3792;3976;3827;4318;4023;3929;4011;3654;4120;3996;3955;3972;3666;3767;4132;3613;3756;3562;3669
"S2B2A_20190524_096_19HCB_EVI_10";2144;NA;1674;1324;2022;2737;2101;2903;2616;1532;2458;2650;2327;2580;1984;2167;1868;2144;2609;2616;1928;2349;1968;2680;2612;2866;2233;2048;1865;1731;1650;2499;1939;2229;1979;2166;2123;2470;2680;1806;2127;2101;2166
