"","name","id","IDEN","descrip","x","y","geom"
"1","A1",NA,NA,NA,NA,NA,c(318874.379921713, 6168119.52583323)
"2","Hilera 3",NA,NA,NA,NA,NA,c(318899.244730354, 6168248.52136279)
"3","Point 3",3,2,"H4 A10",318925.819,6168230,c(318925.568557829, 6168230.46888866)
"4","Point 4",2,1,"H3 A4",318912.008,6168242,c(318911.908649195, 6168242.96403757)
"5","Point 5",4,3,"H4 A14",318935.932,6168224,c(318936.221304981, 6168225.45621543)
"6","Point 6",5,4,"H4 A 21",318955.215,6168215,c(318954.809128799, 6168215.62504414)
"7","Point 7",6,5,"H7 A31",318974.378,6168188,c(318975.450695499, 6168188.92601234)
"8","Point 8",9,8,"H10 A23",318947.782,6168188,c(318947.55897402, 6168188.26143827)
"9","Point 9",8,7,"H8 A14",318928.432,6168209,c(318928.410530815, 6168208.9927432)
"10","Point 10",7,6,"H7 A4",318904.063,6168226,c(318904.108448544, 6168226.79790363)
"11","Point 11",10,9,"H11 A54",319027.975,6168141,c(319027.733737697, 6168141.25566868)
"12","Point 12",NA,NA,NA,NA,NA,c(319060.575398946, 6168119.22727656)
"13","Point 13",NA,NA,NA,NA,NA,c(319047.077775165, 6168100.71093474)
"14","Point 14",NA,NA,NA,NA,NA,c(319019.554213203, 6168099.90480903)
"15","Point 15",NA,NA,NA,NA,NA,c(319010.969121719, 6168063.69659257)
"16","Point 16",11,10,"H29 A37",318949.512,6168092,c(318948.850216377, 6168092.02037844)
"17","Point 17",12,11,"H30 A18",318899.231,6168117,c(318898.886168074, 6168117.44800527)
"18","Point 18",NA,NA,NA,NA,NA,c(318875.267088099, 6168119.8806049)
"19","Point 19",13,13,"H34 A11",318866.423,6168109,c(318866.320551083, 6168109.41299198)
"20","Point 20",14,14,"H35 A39",318943.628,6168063,c(318943.451693003, 6168063.45909848)
"21","Point 21",NA,NA,NA,NA,NA,c(318950.377441701, 6168030.04750674)
"22","Point 22",NA,NA,NA,NA,NA,c(318964.123991552, 6167991.72627328)
"23","Point 23",NA,NA,NA,NA,NA,c(318933.267106765, 6167983.45287317)
"24","01005-01",NA,NA,NA,NA,NA,c(318967.055433247, 6167960.25968369)
"25","Point 25",15,16,"H56 A46",318916.035,6167971,c(318916.254332912, 6167971.17929571)
"26","Point 26",16,17,"H56 A32",318879.741,6167990,c(318879.600888131, 6167990.67452381)
"27","Point 27",18,19,"H58 A8",318809.647,6168017,c(318808.960738998, 6168017.77356325)
"28","Point 28",17,18,"H57 A19",318840.77,6168007,c(318840.570723479, 6168006.41392016)
"29","Point 29",19,20,"H61 A16",318823.495,6167995,c(318823.683627157, 6167994.87815968)
"30","Point 30",21,22,"H62 A31",318861.8,6167970,c(318861.137602395, 6167969.407364)
"31","Point 31",22,23,"H64 A43",318889.122,6167945,c(318889.215629824, 6167944.84776715)
"32","Point 32",NA,NA,NA,NA,NA,c(318911.214090423, 6167922.27506927)
"33","Point 33",NA,NA,NA,NA,NA,c(318853.237049429, 6167953.46310643)
"34","Point 34",NA,NA,NA,NA,NA,c(318798.262855711, 6167977.14177589)
"35","Point 35",24,26,"H67 A11",318780.582,6167977,c(318780.469269508, 6167976.15060283)
"36","Point 36",25,28,"H70 A11",318790.054,6167961,c(318789.669572299, 6167961.68337017)
"37","Point 37",NA,NA,NA,NA,NA,c(318807.889561606, 6167946.59466507)
"38","Point 38",23,26,"H67 A11",318882.053,6167919,c(318881.94498772, 6167918.89125279)
"39","011005-01",NA,NA,NA,NA,NA,c(318966.374761824, 6167960.53244886)
"40","011007-01",NA,NA,NA,NA,NA,c(318862.570312346, 6168136.56138819)
"41","01004-01",1,0,"H23 A17",318908.126,6168143,c(318907.825452034, 6168143.16952186)
"42","01008-01",6,5,"H7 A31",318974.378,6168188,c(318974.417581827, 6168188.63623545)
"43","01006-01",20,21,"H61 A13",318814.606,6168000,c(318815.225213788, 6167999.72917907)
