"","promedio_brix","promedio_calibre_ecuatorial","promedio_calibre_longitudinal","promedio_firmeza","promedio_peso_fresco","mediana_brix","mediana_calibre_ecuatorial","mediana_calibre_longitudinal","mediana_firmeza","mediana_peso_fresco","desvest_brix","desvest_calibre_ecuatorial","desvest_calibre_longitudinal","desvest_firmeza","desvest_peso_fresco","coefvar_brix","coefvar_calibre_longitudinal","coefvar_firmeza","coefvar_peso_fresco"
"H10 A23",7.12,54.29,58.4,9.533,109.536,6.95,54.25,58.85,9.48,54.25,0.530827446330517,2.56101108505562,3.03973683071413,0.714190295213942,2.56101108505562,7.45544166194546,5.20502881971598,7.4917685431023,14.3873408442194
"H11 A54",5.84,53,59.996,7.812,109.643,5.9,51,57.75,7.73,51,0.295145914949049,4.44722135470878,5.35231455644295,0.771042584210929,4.44722135470878,5.05386840666179,8.92111900200505,9.8699767564123,26.7756507042731
"H23 A17",6.99,50.38,52.07,7.631,82.217,7.05,49.4,51,7.65,49.4,0.685484419143782,3.08753767408414,3.92910789987866,0.678502435924556,3.08753767408414,9.80664405069789,7.54581889740476,8.8913960938875,17.8825227781977
"H29 A37",6.11,53.02,58.75,9.48,106.332,6.05,52.6,59.75,9.45,52.6,0.218326971917504,1.56404035185228,4.00173573451432,0.78852886933693,1.56404035185228,3.57327286280694,6.81146508002438,8.31781507739378,9.84746484504945
"H3 A4",6.45,55.08,60.04,9.2,118.695,6.45,55.35,59.6,9.35,55.35,0.340750805004348,2.17705203326782,2.26970384754389,1.12644968324772,2.17705203326782,5.28295821712167,3.78031953288457,12.2440182961709,9.69274044765435
"H30 A18",6.73,51.65,55.9,7.417,93.064,6.65,51,55.5,7.38,51,0.824688493378628,2.57174821646461,2.90402020194993,0.514739416274552,2.57174821646461,12.2539152062203,5.19502719490149,6.93999482640626,14.0723842271655
"H34 A11",6.75,54.9,59.6,8.758,112.091,6.75,55.25,59.25,8.73,55.25,0.540061724867322,1.72884033065199,2.71620650499512,0.628256847687844,1.72884033065199,8.00091444247884,4.5573934647569,7.17351961278652,11.9186368815018
"H35 A39",5.65,54.4,60.85,8.42,113.666,5.6,54,61,8.55,54,0.362859017617954,1.3703203194063,1.61675257503704,0.657148723231237,1.3703203194063,6.4222834976629,2.6569475349828,7.80461666545412,7.09117528845317
"H4 A10",7.96,54.52,57.95,6.664,106.23,7.35,54.25,57.75,6.815,54.25,1.50790509574634,2.20947454789092,2.47711750046523,1.37211272617571,2.20947454789092,18.9435313535972,4.2745772225457,20.589926863381,11.6010084087905
"H4 A14",12.85,38.009,40.7,1.53,33.4,12.75,38,40,1.6,38,0.668746754924629,1.94271545351689,2.92688685580203,0.359165699921359,1.94271545351689,5.20425490213719,7.19136819607377,23.4748823478013,18.7336913455282
"H4 A21",6.45,54.08,59.93,9.39,111.235,6.5,54.5,59.4,9.25,54.5,0.330823887354653,3.42176043060359,4.61809243928462,1.17326704358196,3.42176043060359,5.12905251712641,7.70581084479329,12.4948566941636,17.9282016214753
"H53 A63",7.4,51.6,55.25,7.25,90.265,7.4,52,55,7.145,52,0.319722101554181,1.94079021706795,2.45232316159369,0.668962712795796,1.94079021706795,4.32056893992137,4.43859395763564,9.22707190063167,9.31530240180382
"H56 A32",6.5,53.5,60.35,8.281,109.679,6.4,54,61,8.165,54,0.736357401145817,2.05480466765633,2.94439203307651,0.777966723081535,2.05480466765633,11.3285754022433,4.8788600382378,9.39459875717347,8.25913561229454
"H56 A46",7.2,52.53,55.65,7.687,98.589,7.3,52.5,55.25,7.465,52.5,0.545690184791497,2.37067735280681,2.89683735592226,1.00586115675409,2.37067735280681,7.57903034432634,5.20545796212446,13.0852238422543,12.4675066427852
"H57 A19",6.43,51.75,54.45,8.351,88.868,6.5,50.25,54.5,8.15,50.25,0.333499958354154,3.35203089351979,2.29068160647049,0.717378716036531,3.35203089351979,5.1866245467209,4.20694509911936,8.59033308629543,13.7397975424193
"H58 A8",7.23,50.55,53.15,6.656,77.199,7.15,51,53.25,6.58,51,0.424394994210713,2.3267765017055,2.5609243123008,0.64845457306841,2.3267765017055,5.86991693237501,4.81829597798834,9.74240644634029,20.1248428837056
"H61 A13",7.55,51.3,55.75,7.626,94.766,7.25,51,55.75,7.08,51,1.25720147770974,1.87023468521407,3.38501600193165,1.36075305948173,1.87023468521407,16.6516752014535,6.07177758194018,17.8436016192202,14.8717725219914
"H61 A16",6.83,52.85,57.4,7.421,99.078,6.8,53,57,7.38,53,0.388873015549064,0.747217059048663,1.14987922071069,0.310105716741171,0.747217059048663,5.69360198461294,2.00327390367716,4.17875915296013,4.62636733357872
"H62 A31",6.73,52.5,57.15,7.132,95.555,6.65,52,56,6.75,52,0.416466618643613,2.40370085030933,4.73198337556956,1.04643097133914,2.40370085030933,6.18821127256483,8.27993591525732,14.6723355487821,9.77264049335974
"H64 A43",6.32,54.1,60.95,6.753,113.247,6.3,53.75,61.25,6.765,53.75,0.322490309931942,2.25831795812724,2.65047165613971,0.433180742364611,2.25831795812724,5.10269477740415,4.34859992803891,6.41464152768564,12.8617696408943
"H67 A11",6.78,51.2,57.67,8.104,91.903,7,51.75,56.5,8.045,51.75,0.498442017133833,2.18835300828931,4.48703069350372,0.90972767598026,2.18835300828931,7.35165217011553,7.78052833969779,11.2256623393418,11.6274883703091
"H69 A45",7.1,50.4,55.5,7.903,87.821,7,50,55.5,7.7,50,0.567646212197547,2.19595587893341,1.95789002074512,0.976194994182344,2.19595587893341,7.99501707320488,3.52772976710833,12.3522079486568,11.0682768696333
"H7 A31",6.85,51.8,56.95,8.68,93.043,6.9,51.75,57.25,8.4,51.75,0.435252161906687,2.29975844142138,1.86264447612647,0.691391511534689,2.29975844142138,6.3540461592217,3.27066633209213,7.96533999463927,9.92944720825002
"H7 A4",6.51,53.35,56.12,8.838,99.035,6.5,53.75,55.5,8.7,53.75,0.324722103412201,2.18644815981435,3.17797979155871,0.839507792300544,2.18644815981435,4.98805074365901,5.66282927932771,9.49884354266286,12.463805971804
"H70 A11",6.67,49.93,55.37,8.163,82.245,6.5,49,55.7,8.365,49,0.365300485141266,3.35362159132151,4.58743452874867,1.12535475887976,3.35362159132151,5.47676889267266,8.28505423288545,13.786043842702,22.1220983391659
"H8 A14",7.11,53.6,56.9,6.749,101.203,7.1,54,57.75,6.68,54,0.328125992061992,2.23358207570013,2.71620650499512,0.290342709377881,2.23358207570013,4.61499285600552,4.77364939366453,4.30201080719931,11.0035758272686
