descrip;NÚM_MUESTRA;NÚM_SUBMUESTRA;PESO FRESCO ;CALIBRE_ECUATORIAL;CALIBRE_LONGITUDINAL;FIRMEZA;°BRIX
H10 A23;1;1;107,38;53,3;58,7;8,8;7,5
H10 A23;1;2;122,4;53;53,7;9,46;8
H10 A23;1;3;108,81;55,5;61,5;9,66;8
H10 A23;1;4;105,14;55,5;63,3;8,93;7
H10 A23;1;5;82,16;52;53,5;9,5;6,8
H10 A23;1;6;135,92;54,5;58;10,6;7
H10 A23;1;7;103,66;49,5;59,5;10,45;6,9
H10 A23;1;8;121,9;54;59;10,3;6,7
H10 A23;1;9;90,75;58,3;57,5;9;6,8
H10 A23;1;10;117,24;57,3;59,3;8,63;6,5
H11 A54;2;1;97,74;49,5;57,3;8,55;5,5
H11 A54;2;2;89,17;50,5;57,5;7,46;6,1
H11 A54;2;3;92,02;61;63;8,96;6,3
H11 A54;2;4;91,32;52;54;8,53;5,8
H11 A54;2;5;147,6;59,5;72;8,33;5,5
H11 A54;2;6;169,7;49;57,5;7,33;6
H11 A54;2;7;94,5;49,5;65,66;8;6
H11 A54;2;8;100,43;57;57;6,7;6
H11 A54;2;9;82,75;51;58;6,86;5,8
H11 A54;2;10;131,2;51;58;7,4;5,4
H23 A17;3;1;73,22;49,3;49,5;7,72;8
H23 A17;3;2;85,71;49;56,5;7,6;7,1
H23 A17;3;3;70,36;46;49,5;6,9;6,8
H23 A17;3;4;65,18;57;56;9,16;6
H23 A17;3;5;116,56;48,5;52,5;7,1;7,2
H23 A17;3;6;91,67;50,5;59;8;7,8
H23 A17;3;7;82,55;49;48,5;7;7
H23 A17;3;8;79,38;54;48,5;8,03;7,5
H23 A17;3;9;71;49,5;52,7;7,1;6,5
H23 A17;3;10;86,54;51;48;7,7;6
H29 A37;4;1;92,9;54;62;9,3;6,2
H29 A37;4;2;110,54;52,5;60;9,9;6
H29 A37;4;3;126,58;54,5;60;10,1;5,8
H29 A37;4;4;112,05;56,3;57;10,2;6,2
H29 A37;4;5;103,02;52,5;61,5;9,4;6,5
H29 A37;4;6;104,31;52;57;9,4;6,4
H29 A37;4;7;90,8;52,7;57;7,8;6
H29 A37;4;8;100,38;53;59,5;10,5;6
